"Offset","Length","Mnemonic","DataType","Name","Comment"
"0x108","0x4","CCDictionary *","CCDictionary *","m_lastBuildSave",""
"0x10c","0x4","int","int","m_levelID_Random","Created by retype action"
"0x110","0x4","int","int","m_levelID_Seed","Created by retype action"
"0x114","0x4","int","int","m_levelID","Created by retype action"
"0x118","0x4","basic_string","basic_string","m_levelName",""
"0x11c","0x4","basic_string","basic_string","m_levelDesc",""
"0x120","0x4","basic_string","basic_string","m_levelString",""
"0x124","0x4","basic_string","basic_string","m_creatorName",""
"0x128","0x4","basic_string","basic_string","m_recordString",""
"0x12c","0x4","basic_string","basic_string","m_uploadDate",""
"0x130","0x4","basic_string","basic_string","m_updateDate",""
"0x134","0x4","basic_string","basic_string","m_unkString1",""
"0x138","0x4","basic_string","basic_string","m_unkString2",""
"0x13c","0x8","CCPoint","CCPoint","m_unkPoint",""
"0x144","0x4","int","int","m_userID_Random",""
"0x148","0x4","int","int","m_userID_Seed",""
"0x14c","0x4","int","int","m_userID",""
"0x150","0x4","int","int","m_accountID_Random",""
"0x154","0x4","int","int","m_accountID_Seed",""
"0x158","0x4","int","int","m_accountID",""
"0x15c","0x4","int","int","m_difficulty",""
"0x160","0x4","int","int","m_audioTrack",""
"0x164","0x4","int","int","m_songID",""
"0x168","0x4","int","int","m_levelRev","Created by retype action"
"0x16c","0x1","bool","bool","m_unlisted","Created by retype action"
"0x16d","0x1","bool","bool","m_friendsOnly",""
"0x16e","0x1","??","undefined","",""
"0x16f","0x1","??","undefined","",""
"0x170","0x4","int","int","m_objectCount_Random",""
"0x174","0x4","int","int","m_objectCount_Seed",""
"0x178","0x4","int","int","m_objectCount","Created by retype action"
"0x17c","0x4","int","int","m_levelIndex",""
"0x180","0x4","int","int","m_ratings",""
"0x184","0x4","int","int","m_ratingsSum",""
"0x188","0x4","int","int","m_downloads",""
"0x18c","0x1","bool","bool","m_isEditable",""
"0x18d","0x1","bool","bool","m_gauntletLevel",""
"0x18e","0x1","bool","bool","m_gauntletLevel2",""
"0x18f","0x1","??","undefined","",""
"0x190","0x4","int","int","m_workingTime",""
"0x194","0x4","int","int","m_workingTime2",""
"0x198","0x1","bool","bool","m_lowDetailMode",""
"0x199","0x1","bool","bool","m_lowDetailModeToggled",""
"0x19a","0x1","bool","bool","m_selected",""
"0x19b","0x1","bool","bool","m_localOrSaved",""
"0x19c","0x1","bool","bool","m_disableShake",""
"0x19d","0x1","??","undefined","",""
"0x19e","0x1","??","undefined","",""
"0x19f","0x1","??","undefined","",""
"0x1a0","0x4","int","int","m_isVerified_Random",""
"0x1a4","0x4","int","int","m_isVerified_Seed",""
"0x1a8","0x1","bool","bool","m_isVerifiedRaw","Created by retype action"
"0x1a9","0x1","bool","bool","m_isUploaded","Created by retype action"
"0x1aa","0x1","bool","bool","m_hasBeenModified","Created by retype action"
"0x1ab","0x1","??","undefined","",""
"0x1ac","0x4","int","int","m_levelVersion","Created by retype action"
"0x1b0","0x4","int","int","m_gameVersion","Created by retype action"
"0x1b4","0x4","int","int","m_attempts_Random",""
"0x1b8","0x4","int","int","m_attempts_Seed","Created by retype action"
"0x1bc","0x4","int","int","m_attempts","Created by retype action"
"0x1c0","0x4","int","int","m_jumps_Random","Created by retype action"
"0x1c4","0x4","int","int","m_jumps_Seed","Created by retype action"
"0x1c8","0x4","int","int","m_jumps","Created by retype action"
"0x1cc","0x4","int","int","m_clicks_Random","Created by retype action"
"0x1d0","0x4","int","int","m_clicks_Seed","Created by retype action"
"0x1d4","0x4","int","int","m_clicks","Created by retype action"
"0x1d8","0x4","int","int","m_attemptTime_Random","Created by retype action"
"0x1dc","0x4","int","int","m_attemptTime_Seed","Created by retype action"
"0x1e0","0x4","int","int","m_attemptTime","Created by retype action"
"0x1e4","0x4","int","int","m_chk",""
"0x1e8","0x1","bool","bool","m_isChkValid",""
"0x1e9","0x1","bool","bool","m_isCompletionLegitimate",""
"0x1ea","0x1","??","undefined","",""
"0x1eb","0x1","??","undefined","",""
"0x1ec","0x4","int","int","m_normalPercent",""
"0x1f0","0x4","int","int","m_normalPercent_Seed",""
"0x1f4","0x4","int","int","m_normalPercent_Random",""
"0x1f8","0x4","int","int","m_newNormalPercent_Random","Created by retype action"
"0x1fc","0x4","int","int","m_newNormalPercent_Seed","Created by retype action"
"0x200","0x4","int","int","m_newNormalPercent","Created by retype action"
"0x204","0x4","int","int","m_newNormalPercent2_Random",""
"0x208","0x4","int","int","m_newNormalPercent2_Seed",""
"0x20c","0x4","int","int","m_newNormalPercent2",""
"0x210","0x4","int","int","m_practicePercent",""
"0x214","0x4","int","int","m_likes",""
"0x218","0x4","int","int","m_dislikes","Created by retype action"
"0x21c","0x4","int","int","m_levelLength",""
"0x220","0x4","int","int","m_featured","Created by retype action"
"0x224","0x4","int","int","m_isEpic",""
"0x228","0x1","bool","bool","m_levelFavorited",""
"0x229","0x1","??","undefined","",""
"0x22a","0x1","??","undefined","",""
"0x22b","0x1","??","undefined","",""
"0x22c","0x4","int","int","m_levelFolder",""
"0x230","0x4","int","int","m_dailyID_Random","Created by retype action"
"0x234","0x4","int","int","m_dailyID_Seed","Created by retype action"
"0x238","0x4","int","int","m_dailyID","Created by retype action"
"0x23c","0x4","int","int","m_demon_Random",""
"0x240","0x4","int","int","m_demon_Seed",""
"0x244","0x4","int","int","m_demon",""
"0x248","0x4","int","int","m_demonDifficulty",""
"0x24c","0x4","int","int","m_stars_Random",""
"0x250","0x4","int","int","m_stars_Seed",""
"0x254","0x4","int","int","m_stars",""
"0x258","0x1","bool","bool","m_autoLevel",""
"0x259","0x1","??","undefined","",""
"0x25a","0x1","??","undefined","",""
"0x25b","0x1","??","undefined","",""
"0x25c","0x4","int","int","m_coins",""
"0x260","0x4","int","int","m_coinsVerified_Random",""
"0x264","0x4","int","int","m_coinsVerified_Seed",""
"0x268","0x4","int","int","m_coinsVerified",""
"0x26c","0x4","int","int","m_password_Random",""
"0x270","0x4","int","int","m_password_Seed",""
"0x274","0x4","int","int","m_originalLevel_Random",""
"0x278","0x4","int","int","m_originalLevel_Seed",""
"0x27c","0x4","int","int","m_originalLevel",""
