"Offset","Length","Mnemonic","DataType","Name","Comment"
"0x120","0x4","CCDictionary *","CCDictionary *","m_mainLevels",""
"0x124","0x4","CCDictionary *","CCDictionary *","m_searchFilters",""
"0x128","0x4","CCDictionary *","CCDictionary *","m_onlineLevels",""
"0x12c","0x4","CCDictionary *","CCDictionary *","m_unkDict",""
"0x130","0x4","CCDictionary *","CCDictionary *","m_follwedCreators",""
"0x134","0x4","CCDictionary *","CCDictionary *","m_GLM21",""
"0x138","0x4","CCDictionary *","CCDictionary *","m_downloadedLevels",""
"0x13c","0x4","CCDictionary *","CCDictionary *","m_likedLevels",""
"0x140","0x4","CCDictionary *","CCDictionary *","m_ratedLevels",""
"0x144","0x4","CCDictionary *","CCDictionary *","m_ratedDemons",""
"0x148","0x4","CCDictionary *","CCDictionary *","m_reportedLevels",""
"0x14c","0x4","CCDictionary *","CCDictionary *","m_onlineFolders",""
"0x150","0x4","CCDictionary *","CCDictionary *","m_localLevelsFolders",""
"0x154","0x4","CCDictionary *","CCDictionary *","m_dailyLevels",""
"0x158","0x4","int","int","m_dailyTimeLeft",""
"0x15c","0x4","int","int","m_dailyID",""
"0x160","0x4","int","int","m_weeklyTimeLeft",""
"0x164","0x4","int","int","m_weeklyIDTimeLeft",""
"0x168","0x4","int","int","m_weeklyID",""
"0x16c","0x4","int","int","m_eventTimeLeft",""
"0x170","0x4","int","int","m_eventIDTimeLeft",""
"0x174","0x4","int","int","m_eventID",""
"0x178","0x1","??","undefined","",""
"0x179","0x1","??","undefined","",""
"0x17a","0x1","??","undefined","",""
"0x17b","0x1","??","undefined","",""
"0x17c","0x4","CCDictionary *","CCDictionary *","m_gauntletLevels",""
"0x180","0x1","??","undefined","",""
"0x181","0x1","??","undefined","",""
"0x182","0x1","??","undefined","",""
"0x183","0x1","??","undefined","",""
"0x184","0x4","_Rb_tree_node *","_Rb_tree_node *","",""
"0x188","0x4","void *","void *","",""
"0x18c","0x4","_Rb_tree_node * *","_Rb_tree_node * *","",""
"0x190","0x4","_Rb_tree_node * *","_Rb_tree_node * *","",""
"0x194","0x4","undefined4","undefined4","",""
"0x198","0x4","CCObject *","CCObject *","",""
